order_id,order_date,ship_date,ship_mode,customer_name,segment,country,market,region,product_id,category,sub_category,sales,quantity,discount,profit,shipping_cost,order_priority,year
AG-2011-2040,2011-01-01,2011-01-06,Standard Class,Toby Braunhardt,Consumer,Algeria,Africa,Africa,OFF-TEN-10000025,Office Supplies,Storage,408,2,0,106.14,35.46,Medium,2011
IN-2011-47883,2011-01-01,2011-01-08,Standard Class,Joseph Holt,Consumer,Australia,APAC,Oceania,OFF-SU-10000618,Office Supplies,Supplies,120,3,0.1,36.04,9.72,Medium,2011
HU-2011-1220,2011-01-01,2011-01-05,Second Class,Annie Thurman,Consumer,Hungary,EMEA,EMEA,OFF-TEN-10001585,Office Supplies,Storage,66,4,0,29.64,8.17,High,2011
IT-2011-3647632,2011-01-01,2011-01-05,Second Class,Eugene Moren,Home Office,Sweden,EU,North,OFF-PA-10001492,Office Supplies,Paper,45,3,0.5,-26.06,4.82,High,2011
IN-2011-47883,2011-01-01,2011-01-08,Standard Class,Joseph Holt,Consumer,Australia,APAC,Oceania,FUR-FU-10003447,Furniture,Furnishings,114,5,0.1,37.77,4.7,Medium,2011
IN-2011-47883,2011-01-01,2011-01-08,Standard Class,Joseph Holt,Consumer,Australia,APAC,Oceania,OFF-PA-10001968,Office Supplies,Paper,55,2,0.1,15.34,1.8,Medium,2011
CA-2011-1510,2011-01-02,2011-01-06,Standard Class,Magdelene Morse,Consumer,Canada,Canada,Canada,TEC-OKI-10002750,Technology,Machines,314,1,0,3.12,24.1,Medium,2011
IN-2011-79397,2011-01-03,2011-01-03,Same Day,Kean Nguyen,Corporate,Australia,APAC,Oceania,OFF-AP-10000304,Office Supplies,Appliances,276,1,0.1,110.41,125.32,Critical,2011
ID-2011-80230,2011-01-03,2011-01-09,Standard Class,Ken Lonsdale,Consumer,New Zealand,APAC,Oceania,TEC-CO-10004182,Technology,Copiers,912,4,0.4,-319.46,107.1,Low,2011
IZ-2011-4680,2011-01-03,2011-01-07,Standard Class,Lindsay Williams,Corporate,Iraq,EMEA,EMEA,FUR-NOV-10002791,Furniture,Chairs,667,4,0,253.32,81.26,High,2011
IN-2011-65159,2011-01-03,2011-01-07,Second Class,Larry Blacks,Consumer,Philippines,APAC,Southeast Asia,OFF-ST-10003020,Office Supplies,Storage,338,3,0.45,-122.8,33.75,High,2011
IN-2011-65159,2011-01-03,2011-01-07,Second Class,Larry Blacks,Consumer,Philippines,APAC,Southeast Asia,FUR-TA-10002797,Furniture,Tables,211,1,0.55,-70.4,21.32,High,2011
ES-2011-4869686,2011-01-03,2011-01-07,Standard Class,Dorothy Dickinson,Consumer,United Kingdom,EU,North,FUR-BO-10000728,Furniture,Bookcases,854,7,0,290.43,12.56,Medium,2011
IN-2011-33652,2011-01-03,2011-01-09,Standard Class,Dennis Pardue,Home Office,Malaysia,APAC,Southeast Asia,TEC-CO-10000594,Technology,Copiers,193,1,0,50.13,10.4,Medium,2011
ID-2011-80230,2011-01-03,2011-01-09,Standard Class,Ken Lonsdale,Consumer,New Zealand,APAC,Oceania,FUR-CH-10000214,Furniture,Chairs,159,2,0.4,-95.68,10.07,Low,2011
MX-2011-160234,2011-01-03,2011-01-07,Standard Class,Stewart Visinsky,Consumer,Guatemala,LATAM,Central,TEC-PH-10002647,Technology,Phones,195,4,0,44.88,8.43,Medium,2011
IR-2011-770,2011-01-03,2011-01-07,Standard Class,Jas OCarroll,Consumer,Iran,EMEA,EMEA,OFF-BRE-10003081,Office Supplies,Appliances,123,2,0,42.9,8.41,Medium,2011
ID-2011-80230,2011-01-03,2011-01-09,Standard Class,Ken Lonsdale,Consumer,New Zealand,APAC,Oceania,TEC-AC-10002881,Technology,Accessories,69,2,0.4,3.42,8.34,Low,2011
ID-2011-80230,2011-01-03,2011-01-09,Standard Class,Ken Lonsdale,Consumer,New Zealand,APAC,Oceania,FUR-CH-10000666,Furniture,Chairs,69,2,0.4,-26.41,8.17,Low,2011
ID-2011-12596,2011-01-03,2011-01-08,Standard Class,Chris McAfee,Consumer,Thailand,APAC,Southeast Asia,OFF-ST-10002066,Office Supplies,Storage,135,2,0.47,-45.9,7.74,Medium,2011
IN-2011-79397,2011-01-03,2011-01-03,Same Day,Kean Nguyen,Corporate,Australia,APAC,Oceania,OFF-LA-10003396,Office Supplies,Labels,36,3,0.1,4.74,7.46,Critical,2011
IR-2011-7690,2011-01-03,2011-01-08,Second Class,Nat Gilpin,Corporate,Iran,EMEA,EMEA,OFF-BIC-10000582,Office Supplies,Art,52,1,0,7.77,5.91,High,2011
IR-2011-770,2011-01-03,2011-01-07,Standard Class,Jas OCarroll,Consumer,Iran,EMEA,EMEA,OFF-ROG-10004393,Office Supplies,Storage,62,2,0,8.7,5.16,Medium,2011
TZ-2011-7370,2011-01-03,2011-01-08,Standard Class,Jack Garza,Consumer,Tanzania,Africa,Africa,OFF-STI-10000388,Office Supplies,Supplies,81,4,0,26.76,5.11,Medium,2011
IZ-2011-4680,2011-01-03,2011-01-07,Standard Class,Lindsay Williams,Corporate,Iraq,EMEA,EMEA,OFF-CAM-10004338,Office Supplies,Envelopes,47,1,0,17.07,3.57,High,2011
IN-2011-65159,2011-01-03,2011-01-07,Second Class,Larry Blacks,Consumer,Philippines,APAC,Southeast Asia,OFF-FA-10002569,Office Supplies,Fasteners,6,1,0.45,0.55,0.8,High,2011
IR-2011-770,2011-01-03,2011-01-07,Standard Class,Jas OCarroll,Consumer,Iran,EMEA,EMEA,OFF-ADV-10000213,Office Supplies,Fasteners,17,1,0,4.17,0.54,Medium,2011
MX-2011-111255,2011-01-04,2011-01-09,Second Class,Russell Applegate,Consumer,Brazil,LATAM,South,FUR-BO-10001498,Furniture,Bookcases,1648,6,0,609.84,109.13,Medium,2011
MX-2011-140641,2011-01-04,2011-01-09,Standard Class,Maya Herman,Corporate,Mexico,LATAM,North,TEC-AC-10001082,Technology,Accessories,223,4,0,13.28,42.28,High,2011
MX-2011-158771,2011-01-04,2011-01-11,Standard Class,Beth Thompson,Home Office,Cuba,LATAM,Caribbean,OFF-EN-10000857,Office Supplies,Envelopes,186,6,0,3.6,16.39,Medium,2011
ES-2011-4939443,2011-01-04,2011-01-08,Standard Class,Arthur Prichep,Consumer,France,EU,Central,OFF-AR-10001546,Office Supplies,Art,140,3,0,20.88,10.78,Medium,2011
MX-2011-111255,2011-01-04,2011-01-09,Second Class,Russell Applegate,Consumer,Brazil,LATAM,South,OFF-SU-10003629,Office Supplies,Supplies,149,8,0,28.16,10.38,Medium,2011
MX-2011-140641,2011-01-04,2011-01-09,Standard Class,Maya Herman,Corporate,Mexico,LATAM,North,TEC-CO-10002998,Technology,Copiers,166,2,0,49.43,9.54,High,2011
US-2011-136007,2011-01-04,2011-01-11,Standard Class,Beth Thompson,Home Office,Brazil,LATAM,South,OFF-EN-10004956,Office Supplies,Envelopes,74,6,0.6,-107.86,7.04,Medium,2011
